repeat,seed,k,selected_indices_inner_train,classifier,num_train,num_validation,accuracy,macro_f1,kappa,combined_score
0,42,5,3;6;9;12;15,svm,18,92,0.7717391304347826,0.7504518454661318,0.7261904761904763,0.7568380309567269
0,42,5,3;6;9;12;15,knn,18,92,0.7608695652173914,0.7366509194261166,0.7131519274376417,0.743916513163499
0,42,5,3;6;9;12;15,rf,18,92,0.6847826086956522,0.6504845626740212,0.6226308345120226,0.6607739764805105
0,42,5,3;6;9;12;15,mlp,18,92,0.8369565217391305,0.8319607271813155,0.8043663169832719,0.83345946554866
0,42,7,3;6;9;11;12;15;16,svm,18,92,0.7717391304347826,0.7627229839304143,0.7264231096006797,0.7654278278817248
0,42,7,3;6;9;11;12;15;16,knn,18,92,0.8152173913043478,0.7942099914420196,0.7782818259143749,0.800512211400718
0,42,7,3;6;9;11;12;15;16,rf,18,92,0.8152173913043478,0.8033491374217182,0.778344671201814,0.806909613586507
0,42,7,3;6;9;11;12;15;16,mlp,18,92,0.8043478260869565,0.7959946371711079,0.7651063829787234,0.7985005938458625
0,42,9,1;3;5;6;9;11;12;15;16,svm,18,92,0.7717391304347826,0.7632727346224799,0.7261128437765807,0.7658126533661707
0,42,9,1;3;5;6;9;11;12;15;16,knn,18,92,0.7608695652173914,0.7222341057635174,0.7129078014184398,0.7338247435996795
0,42,9,1;3;5;6;9;11;12;15;16,rf,18,92,0.782608695652174,0.7729935294590468,0.7393767705382437,0.7758780793169848
0,42,9,1;3;5;6;9;11;12;15;16,mlp,18,92,0.7934782608695652,0.7934147509578544,0.7524079320113315,0.7934338039313676
0,42,11,1;3;4;5;6;9;10;11;12;15;16,svm,18,92,0.7282608695652174,0.7163344578454934,0.6738513896766876,0.7199123813614106
0,42,11,1;3;4;5;6;9;10;11;12;15;16,knn,18,92,0.7282608695652174,0.6850198412698413,0.674313225715095,0.697992149758454
0,42,11,1;3;4;5;6;9;10;11;12;15;16,rf,18,92,0.782608695652174,0.7725041174736914,0.7396717600452745,0.7755354909272361
0,42,11,1;3;4;5;6;9;10;11;12;15;16,mlp,18,92,0.717391304347826,0.6866113306330698,0.660420215786485,0.6958453227474966
0,42,13,1;2;3;4;5;6;8;9;10;11;12;15;16,svm,18,92,0.7608695652173914,0.756387068887069,0.7130705982421321,0.7577318177861656
0,42,13,1;2;3;4;5;6;8;9;10;11;12;15;16,knn,18,92,0.6630434782608695,0.6124284890901939,0.5962627406568515,0.6276129858413966
0,42,13,1;2;3;4;5;6;8;9;10;11;12;15;16,rf,18,92,0.7065217391304348,0.6692584560706002,0.6486562942008486,0.6804374409885505
0,42,13,1;2;3;4;5;6;8;9;10;11;12;15;16,mlp,18,92,0.75,0.7407786672302801,0.7006225240520656,0.743545067061196
1,43,5,3;6;9;12;15,svm,18,92,0.8260869565217391,0.8255237300704487,0.7913240714488233,0.8256926980058358
1,43,5,3;6;9;12;15,knn,18,92,0.8369565217391305,0.8351877852712114,0.8043663169832719,0.835718406211587
1,43,5,3;6;9;12;15,rf,18,92,0.8586956521739131,0.8519126169529395,0.8307866440294284,0.8539475275192315
1,43,5,3;6;9;12;15,mlp,18,92,0.8586956521739131,0.8576739028944912,0.830450808052169,0.8579804276783177
1,43,7,3;6;9;11;12;15;16,svm,18,92,0.8695652173913043,0.8693992202334805,0.8435817512043071,0.8694490193808275
1,43,7,3;6;9;11;12;15;16,knn,18,92,0.8260869565217391,0.8256745494648721,0.7914423349390762,0.8257982715819322
1,43,7,3;6;9;11;12;15;16,rf,18,92,0.8695652173913043,0.8673330527497195,0.8437146092865233,0.868002702142195
1,43,7,3;6;9;11;12;15;16,mlp,18,92,0.8152173913043478,0.7990349927849928,0.7780930760499433,0.8038897123407992
1,43,9,3;5;6;9;10;11;12;15;16,svm,18,92,0.8152173913043478,0.8165746981031937,0.7784702549575071,0.8161675060635399
1,43,9,3;5;6;9;10;11;12;15;16,knn,18,92,0.8152173913043478,0.8116405995438254,0.7784074808727685,0.8127136370719821
1,43,9,3;5;6;9;10;11;12;15;16,rf,18,92,0.8586956521739131,0.8539316681631672,0.8307387489385791,0.8553608633663909
1,43,9,3;5;6;9;10;11;12;15;16,mlp,18,92,0.7934782608695652,0.7883931065303614,0.7521973348454778,0.7899186528321226
1,43,11,1;3;4;5;6;9;10;11;12;15;16,svm,18,92,0.782608695652174,0.7807373271889402,0.7396717600452745,0.7812987377279103
1,43,11,1;3;4;5;6;9;10;11;12;15;16,knn,18,92,0.7608695652173914,0.7568619811957821,0.7132332105412298,0.7580642564022648
1,43,11,1;3;4;5;6;9;10;11;12;15;16,rf,18,92,0.8804347826086957,0.8783808709211934,0.8566978193146417,0.8789970444274441
1,43,11,1;3;4;5;6;9;10;11;12;15;16,mlp,18,92,0.8043478260869565,0.8033731522575337,0.7655055225148684,0.8036655544063604
1,43,13,1;3;4;5;6;8;9;10;11;12;13;15;16,svm,18,92,0.7934782608695652,0.7900565175565175,0.7526881720430108,0.7910830405504318
1,43,13,1;3;4;5;6;8;9;10;11;12;13;15;16,knn,18,92,0.7608695652173914,0.7582621327026698,0.7133956386292835,0.7590443624570863
1,43,13,1;3;4;5;6;8;9;10;11;12;13;15;16,rf,18,92,0.8695652173913043,0.8676281827491507,0.8436703483432455,0.8682092931417966
1,43,13,1;3;4;5;6;8;9;10;11;12;13;15;16,mlp,18,92,0.8043478260869565,0.7951112728721837,0.765704584040747,0.7978822388366156
