repeat,shot,classifier,feature_set,encoding,num_features,accuracy,macro_f1
0,3,svm,raw,global4,252,0.3565217391304348,0.34723280524922795
0,3,knn,raw,global4,252,0.3217391304347826,0.31448220093897256
0,3,rf,raw,global4,252,0.40869565217391307,0.4112486859545683
0,3,mlp,raw,global4,252,0.4260869565217391,0.41926038286332407
0,3,svm,raw,global5,315,0.391304347826087,0.3789261392267021
0,3,knn,raw,global5,315,0.33043478260869563,0.31960784313725493
0,3,rf,raw,global5,315,0.4434782608695652,0.44542784542784536
0,3,mlp,raw,global5,315,0.3826086956521739,0.3755746511731231
0,3,svm,raw,pyramid,945,0.3391304347826087,0.31788339257851456
0,3,knn,raw,pyramid,945,0.33043478260869563,0.31144527986633247
0,3,rf,raw,pyramid,945,0.3826086956521739,0.3752484517150432
0,3,mlp,raw,pyramid,945,0.3652173913043478,0.3542989391092432
0,3,svm,raw,resample16,1008,0.45217391304347826,0.43610537782364406
0,3,knn,raw,resample16,1008,0.34782608695652173,0.3173780103043669
0,3,rf,raw,resample16,1008,0.4782608695652174,0.45916958706998323
0,3,mlp,raw,resample16,1008,0.45217391304347826,0.42590850106532474
0,3,svm,raw_pca11,global4,44,0.5565217391304348,0.5669125588047011
0,3,knn,raw_pca11,global4,44,0.5304347826086957,0.5243643217520927
0,3,rf,raw_pca11,global4,44,0.6086956521739131,0.6086153746000293
0,3,mlp,raw_pca11,global4,44,0.6,0.5979802397937779
0,3,svm,raw_pca11,global5,55,0.5739130434782609,0.5816463188892255
0,3,knn,raw_pca11,global5,55,0.5130434782608696,0.5093259086246463
0,3,rf,raw_pca11,global5,55,0.5565217391304348,0.555632491559265
0,3,mlp,raw_pca11,global5,55,0.6173913043478261,0.6144906637166699
0,3,svm,raw_pca11,pyramid,165,0.5565217391304348,0.564915209326974
0,3,knn,raw_pca11,pyramid,165,0.5826086956521739,0.5731669979149444
0,3,rf,raw_pca11,pyramid,165,0.6086956521739131,0.6053971827965636
0,3,mlp,raw_pca11,pyramid,165,0.5565217391304348,0.5462175424360298
0,3,svm,raw_pca11,resample16,176,0.6782608695652174,0.7012590942981435
0,3,knn,raw_pca11,resample16,176,0.6869565217391305,0.6712859451054087
0,3,rf,raw_pca11,resample16,176,0.7217391304347827,0.716965547645907
0,3,mlp,raw_pca11,resample16,176,0.6956521739130435,0.6862181330266437
0,3,svm,raw_pca17,global4,68,0.6260869565217392,0.6280803305293393
0,3,knn,raw_pca17,global4,68,0.6086956521739131,0.6086472307422209
0,3,rf,raw_pca17,global4,68,0.6956521739130435,0.7031739931782376
0,3,mlp,raw_pca17,global4,68,0.6695652173913044,0.6887999652705535
0,3,svm,raw_pca17,global5,85,0.6,0.5975591238961886
0,3,knn,raw_pca17,global5,85,0.6347826086956522,0.6401822783620785
0,3,rf,raw_pca17,global5,85,0.6695652173913044,0.6705761192323343
0,3,mlp,raw_pca17,global5,85,0.7043478260869566,0.7029360388493515
0,3,svm,raw_pca17,pyramid,255,0.6086956521739131,0.6140685743642118
0,3,knn,raw_pca17,pyramid,255,0.591304347826087,0.5878927214796897
0,3,rf,raw_pca17,pyramid,255,0.7391304347826086,0.73312447786132
0,3,mlp,raw_pca17,pyramid,255,0.6086956521739131,0.6089435380457052
0,3,svm,raw_pca17,resample16,272,0.7391304347826086,0.7566078639849132
0,3,knn,raw_pca17,resample16,272,0.7130434782608696,0.710162692238164
0,3,rf,raw_pca17,resample16,272,0.808695652173913,0.812464765096344
0,3,mlp,raw_pca17,resample16,272,0.7391304347826086,0.7315983202508024
0,3,svm,joint_angle,global4,44,0.7304347826086957,0.7474946458178165
0,3,knn,joint_angle,global4,44,0.6956521739130435,0.691662946982096
0,3,rf,joint_angle,global4,44,0.7739130434782608,0.7757157556296724
0,3,mlp,joint_angle,global4,44,0.7217391304347827,0.7206252402680974
0,3,svm,joint_angle,global5,55,0.7391304347826086,0.753695390933656
0,3,knn,joint_angle,global5,55,0.7043478260869566,0.7025803114038408
0,3,rf,joint_angle,global5,55,0.7739130434782608,0.7713253788304497
0,3,mlp,joint_angle,global5,55,0.7391304347826086,0.7411938387548144
0,3,svm,joint_angle,pyramid,165,0.8347826086956521,0.8377482469052238
0,3,knn,joint_angle,pyramid,165,0.7391304347826086,0.7202573824392489
0,3,rf,joint_angle,pyramid,165,0.8434782608695652,0.8453518004099524
0,3,mlp,joint_angle,pyramid,165,0.8,0.79556329315916
0,3,svm,joint_angle,resample16,176,0.8434782608695652,0.8450731129739698
0,3,knn,joint_angle,resample16,176,0.7478260869565218,0.7373082462368177
0,3,rf,joint_angle,resample16,176,0.782608695652174,0.7815196597902773
0,3,mlp,joint_angle,resample16,176,0.808695652173913,0.8107007078423307
0,3,svm,corrected,global4,68,0.782608695652174,0.789004277834065
0,3,knn,corrected,global4,68,0.6869565217391305,0.6812048377513272
0,3,rf,corrected,global4,68,0.808695652173913,0.8114131482552535
0,3,mlp,corrected,global4,68,0.782608695652174,0.7827116210243146
0,3,svm,corrected,global5,85,0.782608695652174,0.7974110004773921
0,3,knn,corrected,global5,85,0.7130434782608696,0.7151521859018274
0,3,rf,corrected,global5,85,0.7913043478260869,0.7891059609609754
0,3,mlp,corrected,global5,85,0.7391304347826086,0.7374491040701711
0,3,svm,corrected,pyramid,255,0.8347826086956521,0.8407716622002336
0,3,knn,corrected,pyramid,255,0.7565217391304347,0.7434345282029887
0,3,rf,corrected,pyramid,255,0.7652173913043478,0.7701311951884035
0,3,mlp,corrected,pyramid,255,0.8260869565217391,0.8268684605893909
0,3,svm,corrected,resample16,272,0.808695652173913,0.8168084453441149
0,3,knn,corrected,resample16,272,0.7130434782608696,0.6780534448411036
0,3,rf,corrected,resample16,272,0.8347826086956521,0.8308643427592454
0,3,mlp,corrected,resample16,272,0.8260869565217391,0.8224269518387165
0,3,svm,optimized_action,global4,68,0.7913043478260869,0.7987554187804501
0,3,knn,optimized_action,global4,68,0.7043478260869566,0.6985544440697864
0,3,rf,optimized_action,global4,68,0.808695652173913,0.8132199946224336
0,3,mlp,optimized_action,global4,68,0.7478260869565218,0.7537994165901143
0,3,svm,optimized_action,global5,85,0.7565217391304347,0.7692813372411074
0,3,knn,optimized_action,global5,85,0.7391304347826086,0.740583604715599
0,3,rf,optimized_action,global5,85,0.782608695652174,0.7846892174695378
0,3,mlp,optimized_action,global5,85,0.7217391304347827,0.7237316377966673
0,3,svm,optimized_action,pyramid,255,0.7652173913043478,0.7691738184635556
0,3,knn,optimized_action,pyramid,255,0.6782608695652174,0.6483538618177541
0,3,rf,optimized_action,pyramid,255,0.7913043478260869,0.7934698663196738
0,3,mlp,optimized_action,pyramid,255,0.7565217391304347,0.7578232078232078
0,3,svm,optimized_action,resample16,272,0.8260869565217391,0.832695163582958
0,3,knn,optimized_action,resample16,272,0.7304347826086957,0.7001959541433226
0,3,rf,optimized_action,resample16,272,0.7739130434782608,0.7647488172336887
0,3,mlp,optimized_action,resample16,272,0.8347826086956521,0.8333109024663492
0,3,svm,optimized_full,global4,252,0.5304347826086957,0.5220700546498418
0,3,knn,optimized_full,global4,252,0.4,0.3724031427163732
0,3,rf,optimized_full,global4,252,0.45217391304347826,0.45828277317639016
0,3,mlp,optimized_full,global4,252,0.48695652173913045,0.4872987777012545
0,3,svm,optimized_full,global5,315,0.48695652173913045,0.4849866403343437
0,3,knn,optimized_full,global5,315,0.41739130434782606,0.3792845022624434
0,3,rf,optimized_full,global5,315,0.43478260869565216,0.4478941895737561
0,3,mlp,optimized_full,global5,315,0.4956521739130435,0.5047120570682382
0,3,svm,optimized_full,pyramid,945,0.4,0.386832671916874
0,3,knn,optimized_full,pyramid,945,0.33043478260869563,0.3044646709383881
0,3,rf,optimized_full,pyramid,945,0.3652173913043478,0.35036799837826793
0,3,mlp,optimized_full,pyramid,945,0.391304347826087,0.38880227754908064
0,3,svm,optimized_full,resample16,1008,0.3652173913043478,0.34703313822827303
0,3,knn,optimized_full,resample16,1008,0.3739130434782609,0.3281171914042979
0,3,rf,optimized_full,resample16,1008,0.5130434782608696,0.5063424086679901
0,3,mlp,optimized_full,resample16,1008,0.40869565217391307,0.377110439911998
1,3,svm,raw,global4,252,0.4260869565217391,0.43212378447313887
1,3,knn,raw,global4,252,0.3565217391304348,0.349771027345398
1,3,rf,raw,global4,252,0.4434782608695652,0.44893486143486144
1,3,mlp,raw,global4,252,0.41739130434782606,0.4170149167268982
1,3,svm,raw,global5,315,0.4434782608695652,0.44562997883457367
1,3,knn,raw,global5,315,0.3391304347826087,0.31504491504491505
1,3,rf,raw,global5,315,0.4434782608695652,0.4526248548199768
1,3,mlp,raw,global5,315,0.4434782608695652,0.44255405744767445
1,3,svm,raw,pyramid,945,0.41739130434782606,0.4200055723197378
1,3,knn,raw,pyramid,945,0.34782608695652173,0.331449422860641
1,3,rf,raw,pyramid,945,0.5217391304347826,0.5380140692640693
1,3,mlp,raw,pyramid,945,0.3652173913043478,0.35973040879680096
1,3,svm,raw,resample16,1008,0.5130434782608696,0.5020034329521282
1,3,knn,raw,resample16,1008,0.4260869565217391,0.408955948681208
1,3,rf,raw,resample16,1008,0.6086956521739131,0.6075349368827629
1,3,mlp,raw,resample16,1008,0.5043478260869565,0.5087546857258998
1,3,svm,raw_pca11,global4,44,0.5391304347826087,0.5543456382078673
1,3,knn,raw_pca11,global4,44,0.5130434782608696,0.5090660782733953
1,3,rf,raw_pca11,global4,44,0.5739130434782609,0.5824524739947984
1,3,mlp,raw_pca11,global4,44,0.5043478260869565,0.5248933265062298
1,3,svm,raw_pca11,global5,55,0.4956521739130435,0.5094219181730416
1,3,knn,raw_pca11,global5,55,0.5130434782608696,0.5071531597018853
1,3,rf,raw_pca11,global5,55,0.6173913043478261,0.6401500282399476
1,3,mlp,raw_pca11,global5,55,0.4434782608695652,0.470359969657606
1,3,svm,raw_pca11,pyramid,165,0.48695652173913045,0.49342950001700814
1,3,knn,raw_pca11,pyramid,165,0.4608695652173913,0.4472880479735319
1,3,rf,raw_pca11,pyramid,165,0.6521739130434783,0.6573892517409847
1,3,mlp,raw_pca11,pyramid,165,0.4608695652173913,0.48021180178525874
1,3,svm,raw_pca11,resample16,176,0.7565217391304347,0.7606400212698167
1,3,knn,raw_pca11,resample16,176,0.6521739130434783,0.6588899153415283
1,3,rf,raw_pca11,resample16,176,0.7478260869565218,0.7369098879721278
1,3,mlp,raw_pca11,resample16,176,0.6869565217391305,0.6992787694062085
1,3,svm,raw_pca17,global4,68,0.6,0.6046815231468932
1,3,knn,raw_pca17,global4,68,0.6086956521739131,0.6204729401914166
1,3,rf,raw_pca17,global4,68,0.6695652173913044,0.6863172003218633
1,3,mlp,raw_pca17,global4,68,0.6434782608695652,0.6429809772267017
1,3,svm,raw_pca17,global5,85,0.591304347826087,0.5962950541142793
1,3,knn,raw_pca17,global5,85,0.6,0.6132511474054548
1,3,rf,raw_pca17,global5,85,0.6521739130434783,0.6618235653191858
1,3,mlp,raw_pca17,global5,85,0.5391304347826087,0.5471467134398169
1,3,svm,raw_pca17,pyramid,255,0.6,0.6123145495173109
1,3,knn,raw_pca17,pyramid,255,0.5739130434782609,0.5648383217463823
1,3,rf,raw_pca17,pyramid,255,0.6521739130434783,0.6650390230716207
1,3,mlp,raw_pca17,pyramid,255,0.6173913043478261,0.6253336453944973
1,3,svm,raw_pca17,resample16,272,0.7478260869565218,0.7737736370052614
1,3,knn,raw_pca17,resample16,272,0.8,0.802679147006878
1,3,rf,raw_pca17,resample16,272,0.8434782608695652,0.8434755804960409
1,3,mlp,raw_pca17,resample16,272,0.6608695652173913,0.6763810681153481
1,3,svm,joint_angle,global4,44,0.6782608695652174,0.6836542769140808
1,3,knn,joint_angle,global4,44,0.7130434782608696,0.7023275335775336
1,3,rf,joint_angle,global4,44,0.7391304347826086,0.743636579485636
1,3,mlp,joint_angle,global4,44,0.6869565217391305,0.6822796131619661
1,3,svm,joint_angle,global5,55,0.7130434782608696,0.7155041813014816
1,3,knn,joint_angle,global5,55,0.6782608695652174,0.6755856314679844
1,3,rf,joint_angle,global5,55,0.782608695652174,0.786220291085395
1,3,mlp,joint_angle,global5,55,0.782608695652174,0.7857609710550887
1,3,svm,joint_angle,pyramid,165,0.782608695652174,0.7957197346191655
1,3,knn,joint_angle,pyramid,165,0.7304347826086957,0.7307410631624038
1,3,rf,joint_angle,pyramid,165,0.808695652173913,0.8111724809677772
1,3,mlp,joint_angle,pyramid,165,0.782608695652174,0.7847827782610391
1,3,svm,joint_angle,resample16,176,0.808695652173913,0.815966885203537
1,3,knn,joint_angle,resample16,176,0.7304347826086957,0.7306618556155744
1,3,rf,joint_angle,resample16,176,0.8260869565217391,0.8303788378976349
1,3,mlp,joint_angle,resample16,176,0.8260869565217391,0.8300359783553061
1,3,svm,corrected,global4,68,0.7565217391304347,0.7676359460757135
1,3,knn,corrected,global4,68,0.7130434782608696,0.7169152880836495
1,3,rf,corrected,global4,68,0.8,0.8038972233910675
1,3,mlp,corrected,global4,68,0.7478260869565218,0.7593826679192532
1,3,svm,corrected,global5,85,0.7652173913043478,0.7716049382716049
1,3,knn,corrected,global5,85,0.7217391304347827,0.7267208767208767
1,3,rf,corrected,global5,85,0.782608695652174,0.7893587893587894
1,3,mlp,corrected,global5,85,0.7478260869565218,0.7577254960381895
1,3,svm,corrected,pyramid,255,0.7217391304347827,0.7363486175986176
1,3,knn,corrected,pyramid,255,0.7652173913043478,0.7657378740970072
1,3,rf,corrected,pyramid,255,0.8347826086956521,0.8394079359139067
1,3,mlp,corrected,pyramid,255,0.808695652173913,0.8133277592491482
1,3,svm,corrected,resample16,272,0.7913043478260869,0.8015242124117181
1,3,knn,corrected,resample16,272,0.7391304347826086,0.7415371890305155
1,3,rf,corrected,resample16,272,0.8521739130434782,0.8518055002269141
1,3,mlp,corrected,resample16,272,0.8347826086956521,0.8310123923127019
1,3,svm,optimized_action,global4,68,0.6869565217391305,0.6994564784101386
1,3,knn,optimized_action,global4,68,0.6434782608695652,0.6403947791142913
1,3,rf,optimized_action,global4,68,0.808695652173913,0.813580879506274
1,3,mlp,optimized_action,global4,68,0.7478260869565218,0.759907750491982
1,3,svm,optimized_action,global5,85,0.6695652173913044,0.6798928410770516
1,3,knn,optimized_action,global5,85,0.6782608695652174,0.6851767995070932
1,3,rf,optimized_action,global5,85,0.782608695652174,0.7897645927057692
1,3,mlp,optimized_action,global5,85,0.6782608695652174,0.6909726203338259
1,3,svm,optimized_action,pyramid,255,0.6869565217391305,0.704581261032874
1,3,knn,optimized_action,pyramid,255,0.782608695652174,0.7858719153412795
1,3,rf,optimized_action,pyramid,255,0.8,0.8092330098522048
1,3,mlp,optimized_action,pyramid,255,0.782608695652174,0.7898388648388649
1,3,svm,optimized_action,resample16,272,0.782608695652174,0.7896326823588051
1,3,knn,optimized_action,resample16,272,0.7478260869565218,0.7495391992927022
1,3,rf,optimized_action,resample16,272,0.8521739130434782,0.8536253640489185
1,3,mlp,optimized_action,resample16,272,0.7913043478260869,0.7883446396324336
1,3,svm,optimized_full,global4,252,0.4,0.40717506102909057
1,3,knn,optimized_full,global4,252,0.3826086956521739,0.3723712377047281
